Mean_Protein,Mean err_Protein,SD_Protein,SD err_Protein,log_protein_mean,log_protein_var
20.83,0.234,9.824,0.464,1.31868927,1.984576708
22.119,0.147,8.55,0.15,1.344765489,1.863932229
23.166,0.137,9.327,0.264,1.364851052,1.939483954
41.427,0.285,18.245,0.3,1.617283484,2.522287735
3.979,0.139,1.583,0.528,0.599773939,0.39896183
8.534,0.184,3.169,0.386,0.931152639,1.001844478
6.104,0.051,2.834,0.226,0.785614525,0.904799692
25.51,0.319,11.829,0.309,1.406710459,2.145896064
18.493,0.132,7.401,0.149,1.26700737,1.738580808
6.373,0.071,3.402,0.077,0.804343918,1.063468619
98.724,0.441,32.634,0.397,1.994422743,3.027340618
4.216,0.15,2.595,0.415,0.624900602,0.828274724
448.401,1.966,176.224,1.878,2.651666572,4.49213011
70.832,0.969,37.32,0.909,1.850229505,3.14388327
18.178,0.128,8.619,0.218,1.259546099,1.870913761
0.433,0.013,0.713,0.021,-0.363512104,-0.29382094
0.927,1.198,0.879,4.583,-0.032920266,-0.11202225
21.463,0.166,10.893,0.273,1.331690426,2.074295007
0.152,0.045,0.477,0.095,-0.818156412,-0.642963242
3.653,0.167,2.22,0.509,0.562649672,0.692705949
253.529,2.546,106.8,2.683,2.404027643,4.057142505
6.558,0.137,4.064,0.16,0.816771412,1.217907399
0.364,0.028,1.006,0.041,-0.438898616,0.005195961
115.188,0.83,44.06,0.763,2.061407238,3.288088986
18.364,0.099,7.2,0.096,1.263967284,1.714664993
783.577,6.293,320.924,5.854,2.89408168,5.012804393
36.614,0.272,13.299,0.311,1.563647177,2.247637972
7.844,0.041,3.088,0.048,0.894537585,0.979354583
149.12,0.75,56.431,0.671,2.173535895,3.503035493
1.772,0.138,1.45,0.295,0.248463718,0.322736004
30.911,0.141,11.374,0.18,1.490113055,2.111826448
0.158,0.044,0.45,0.062,-0.801342913,-0.693574972
2.875,0.102,2.135,0.234,0.458637849,0.658795759
19.916,0.406,13.026,0.536,1.299202118,2.229622148
6.681,0.05,3.195,0.088,0.824841472,1.008941725
8.997,0.083,3.81,0.074,0.95409772,1.161849951
29.847,0.242,13.841,0.211,1.474900686,2.282334937
29.931,0.159,10.509,0.164,1.476121227,2.043122784
18.786,0.171,8.453,0.389,1.273834318,1.854021738
23.538,0.27,15.924,0.7,1.371769559,2.404104338
0.921,0.248,1.089,0.516,-0.03574037,0.07405576
60.858,0.385,25.738,0.357,1.784317676,2.821149593
2380.382,13.684,922.607,11.95,3.376646658,5.930033491
2.432,0.069,2.271,0.122,0.385963571,0.712434268
5.04,0.059,2.389,0.226,0.702430536,0.756432299
4.674,0.048,2.276,0.196,0.669688708,0.714344515
57.951,0.456,25.041,0.343,1.763060935,2.797303336
197.264,0.954,66.819,0.86,2.295047835,3.649799944
7890.539,69.415,3470.502,50.925,3.897106671,7.080784598
22.639,0.28,9.023,0.276,1.354857239,1.910701915
